Year,Region_Code,Male_Population,Female_Population,Total_Population
2018,0,25866129,25959930,51826059
2018,11,4773899,4991724,9765623
2018,26,1692421,1749032,3441453
2018,27,1219342,1242427,2461769
2018,28,1481844,1472798,2954642
2018,29,722581,736755,1459336
2018,30,744338,745598,1489936
2018,31,593819,561804,1155623
2018,36,156831,157295,314126
2018,41,6577501,6499652,13077153
2018,42,776456,766596,1543052
2018,43,808971,790281,1599252
2018,44,1082009,1044273,2126282
2018,45,913297,923535,1836832
2018,46,943000,939970,1882970
2018,47,1346689,1330142,2676831
2018,48,1697412,1676576,3373988
2018,49,335719,331472,667191
2019,0,25864816,25985045,51849861
2019,11,4744059,4985048,9729107
2019,26,1675417,1738424,3413841
2019,27,1205286,1232745,2438031
2019,28,1482249,1474777,2957026
2019,29,720740,735728,1456468
2019,30,736607,738263,1474870
2019,31,589712,558307,1148019
2019,36,169845,170730,340575
2019,41,6659995,6579671,13239666
2019,42,775386,766116,1541502
2019,43,810384,789623,1600007
2019,44,1081938,1041771,2123709
2019,45,904110,914807,1818917
2019,46,937674,931071,1868745
2019,47,1342037,1323799,2665836
2019,48,1692032,1670521,3362553
2019,49,337345,333644,670989
2020,0,25841029,25987994,51829023
2020,11,4701723,4966742,9668465
2020,26,1661000,1730946,3391946
2020,27,1193109,1225237,2418346
2020,28,1473943,1468885,2942828
2020,29,717348,732714,1450062
2020,30,730699,733183,1463882
2020,31,583708,552309,1136017
2020,36,177568,178263,355831
2020,41,6754469,6672545,13427014
2020,42,776505,766335,1542840
2020,43,811591,789246,1600837
2020,44,1082634,1038395,2121029
2020,45,896874,907230,1804104
2020,46,930615,920934,1851549
2020,47,1329211,1310211,2639422
2020,48,1681423,1658793,3340216
2020,49,338609,336026,674635
